rank	count	URI
323=	10	http://biodiversity.org.au/afd.name/471684
323=	10	http://biodiversity.org.au/afd.name/485840
323=	10	http://biodiversity.org.au/afd.name/500057
323=	10	http://biodiversity.org.au/afd.name/513015
323=	10	http://biodiversity.org.au/afd.name/513748
323=	10	http://biodiversity.org.au/afd.name/537318
323=	10	http://biodiversity.org.au/afd.name/541698
323=	10	http://biodiversity.org.au/afd.name/544602
323=	10	http://biodiversity.org.au/afd.name/584336
323=	10	http://biodiversity.org.au/afd.name/593064
498=	9	http://biodiversity.org.au/afd.name/256973
498=	9	http://biodiversity.org.au/afd.name/272966
498=	9	http://biodiversity.org.au/afd.name/277328
498=	9	http://biodiversity.org.au/afd.name/280266
498=	9	http://biodiversity.org.au/afd.name/283224
498=	9	http://biodiversity.org.au/afd.name/283479
498=	9	http://biodiversity.org.au/afd.name/286327
498=	9	http://biodiversity.org.au/afd.name/286736
498=	9	http://biodiversity.org.au/afd.name/287002
498=	9	http://biodiversity.org.au/afd.name/289409
498=	9	http://biodiversity.org.au/afd.name/291818
498=	9	http://biodiversity.org.au/afd.name/292861
498=	9	http://biodiversity.org.au/afd.name/293719
498=	9	http://biodiversity.org.au/afd.name/297846
498=	9	http://biodiversity.org.au/afd.name/298159
498=	9	http://biodiversity.org.au/afd.name/298178
498=	9	http://biodiversity.org.au/afd.name/298411
498=	9	http://biodiversity.org.au/afd.name/298917
498=	9	http://biodiversity.org.au/afd.name/298948
498=	9	http://biodiversity.org.au/afd.name/300818
498=	9	http://biodiversity.org.au/afd.name/301985
498=	9	http://biodiversity.org.au/afd.name/301986
498=	9	http://biodiversity.org.au/afd.name/301993
498=	9	http://biodiversity.org.au/afd.name/302458
498=	9	http://biodiversity.org.au/afd.name/304137
498=	9	http://biodiversity.org.au/afd.name/304346
498=	9	http://biodiversity.org.au/afd.name/304789
498=	9	http://biodiversity.org.au/afd.name/306730
498=	9	http://biodiversity.org.au/afd.name/308018
498=	9	http://biodiversity.org.au/afd.name/310407
498=	9	http://biodiversity.org.au/afd.name/313408
498=	9	http://biodiversity.org.au/afd.name/313982
498=	9	http://biodiversity.org.au/afd.name/314421
498=	9	http://biodiversity.org.au/afd.name/315611
498=	9	http://biodiversity.org.au/afd.name/316774
498=	9	http://biodiversity.org.au/afd.name/320185
498=	9	http://biodiversity.org.au/afd.name/321148
498=	9	http://biodiversity.org.au/afd.name/321818
498=	9	http://biodiversity.org.au/afd.name/321820
498=	9	http://biodiversity.org.au/afd.name/323219
498=	9	http://biodiversity.org.au/afd.name/323643
498=	9	http://biodiversity.org.au/afd.name/324429
498=	9	http://biodiversity.org.au/afd.name/324442
498=	9	http://biodiversity.org.au/afd.name/324534
498=	9	http://biodiversity.org.au/afd.name/326689
498=	9	http://biodiversity.org.au/afd.name/327102
498=	9	http://biodiversity.org.au/afd.name/327242
498=	9	http://biodiversity.org.au/afd.name/329319
498=	9	http://biodiversity.org.au/afd.name/331924
498=	9	http://biodiversity.org.au/afd.name/335840
498=	9	http://biodiversity.org.au/afd.name/337120
498=	9	http://biodiversity.org.au/afd.name/339798
498=	9	http://biodiversity.org.au/afd.name/339834
498=	9	http://biodiversity.org.au/afd.name/340697
498=	9	http://biodiversity.org.au/afd.name/340723
498=	9	http://biodiversity.org.au/afd.name/340779
498=	9	http://biodiversity.org.au/afd.name/341689
498=	9	http://biodiversity.org.au/afd.name/342500
498=	9	http://biodiversity.org.au/afd.name/343591
498=	9	http://biodiversity.org.au/afd.name/343592
498=	9	http://biodiversity.org.au/afd.name/344949
