rank	count	SCIENTIFIC_NAME
499=	9	Pseudophryne douglasi
499=	9	Pseudorhombus jenynsii
499=	9	Pseudovertagus (Pseudovertagus) aluco
499=	9	Pterygia scabricula
499=	9	Pylorgus australensis
499=	9	Rattus sordidus
499=	9	Rhipidura (Rhipidura) albiscapa preissi
499=	9	Saprosites clydensis
499=	9	Scopiastes degeeri
499=	9	Scopiastes impeditus
499=	9	Selenocosmia stirlingi
499=	9	Simoselaps bertholdi
499=	9	Smaragdia (Smaragdella) souverbiana
499=	9	Sminthopsis murina
499=	9	Stizocephalus pilosus
499=	9	Strophurus intermedius
499=	9	Sturnus (Sturnus) vulgaris
499=	9	Sturnus (Sturnus) vulgaris vulgaris
499=	9	Stylogeocoris capricornutus
499=	9	Suta punctata
499=	9	Suta suta
499=	9	Tectocoris diophthalmus
499=	9	Teuthowenia pellucida
499=	9	Thunbergia rufifemur
499=	9	Thylacinus cynocephalus
499=	9	Thysanoteuthis rhombus
