rank	count	cc_attributionURL
123=	1	http://biodiversity.org.au/afd.taxon/0e156e90-db89-4c30-a2f4-008c286c0430
123=	1	http://biodiversity.org.au/afd.taxon/0e246b10-a4e6-49b2-8f5a-28a39324ef59
123=	1	http://biodiversity.org.au/afd.taxon/0e2faf97-946e-4c55-9781-280ced2994fc
123=	1	http://biodiversity.org.au/afd.taxon/0e4d3938-9e74-4032-91ce-144406c1ac96
123=	1	http://biodiversity.org.au/afd.taxon/0e6c982c-7950-4924-84d0-1c3ef2ab11d4
123=	1	http://biodiversity.org.au/afd.taxon/0e955bed-da0a-4d0a-8ea7-80ef04678b7c
123=	1	http://biodiversity.org.au/afd.taxon/0e9fafed-64e5-436b-b45e-adb80e437766
123=	1	http://biodiversity.org.au/afd.taxon/0eb5bc9a-0ca3-48f3-8871-a840550001aa
123=	1	http://biodiversity.org.au/afd.taxon/0eecf07b-eaf9-4fa0-a54d-fb1daf54e141
123=	1	http://biodiversity.org.au/afd.taxon/0f28ad6f-5d21-4bdc-b18e-a387cb3d8c41
123=	1	http://biodiversity.org.au/afd.taxon/0f358189-c006-4164-8631-cb4bf97cb1b3
123=	1	http://biodiversity.org.au/afd.taxon/0f5fb609-b984-4cf7-9e80-6529e7084f8d
123=	1	http://biodiversity.org.au/afd.taxon/0f9f30e4-8415-47a2-aef7-cdae4cb4d2b4
123=	1	http://biodiversity.org.au/afd.taxon/0facbc6a-e2c9-4e76-b577-98b9b26342f6
123=	1	http://biodiversity.org.au/afd.taxon/0fc4fa94-a3e4-4770-8c63-d28078010d9d
123=	1	http://biodiversity.org.au/afd.taxon/0fd7641f-83d4-4162-9c7b-77985d4022a3
123=	1	http://biodiversity.org.au/afd.taxon/10133cee-1e33-4721-b04a-907a7619d32d
123=	1	http://biodiversity.org.au/afd.taxon/10145980-9ec8-464f-8b50-29216b09575c
123=	1	http://biodiversity.org.au/afd.taxon/10408501-5930-40a1-87ee-59e5984fd1bf
123=	1	http://biodiversity.org.au/afd.taxon/104caf60-bf09-4896-82bf-7ec203619aee
123=	1	http://biodiversity.org.au/afd.taxon/1061fb78-2af2-4100-97e6-379da9a89bf9
123=	1	http://biodiversity.org.au/afd.taxon/1064a2e5-e8ea-4fc6-8bb7-9fce2c9517b3
123=	1	http://biodiversity.org.au/afd.taxon/106a20f1-82b8-4548-bb6f-0660ce11704d
123=	1	http://biodiversity.org.au/afd.taxon/10aa9235-64ff-409e-a8e4-ccf703692110
123=	1	http://biodiversity.org.au/afd.taxon/10ab305d-92b6-48d8-a9f0-13d0ee8c51cd
123=	1	http://biodiversity.org.au/afd.taxon/10b5cedf-bd24-4d6e-bc6f-720d37993677
123=	1	http://biodiversity.org.au/afd.taxon/10b71c52-857d-4acb-9186-da6bf430a213
